Trnst ID,Settled Date,Description,Debit,Credit,Balance
81314128,2024-11-19T08:48:48Z,"abu88571,Order ID: 213367, Ref.: 213367",390,0,390
81364393,2024-11-19T10:36:30Z,"hasen11,Withdraw hasen11, Account No. 01838027420",0,750,0
81406191,2024-11-19T12:23:29Z,"RAJAKHAN808,Order ID: 213449, Ref.: 213449",900,0,900
81409094,2024-11-19T12:32:17Z,"mdrasel1995,Order ID: 213455, Ref.: 213455",200,0,200
81411106,2024-11-19T12:38:23Z,"RAJAKHAN808,Withdraw RAJAKHAN808 , Account No. 01719952808",0,1245,0
81415116,2024-11-19T12:49:23Z,"RAJAKHAN808,Order ID: 213467, Ref.: 213467",1000,0,1000
81425361,2024-11-19T13:13:30Z,"mdjwel77,Order ID: 213484, Ref.: 213484",1000,0,1000
81426584,2024-11-19T13:16:49Z,"lion2022,Order ID: 213485, Ref.: 213485",200,0,200
81460073,2024-11-19T14:38:41Z,"Thsagar,Order ID: 213535, Ref.: 213535",200,0,200
81464191,2024-11-19T14:48:28Z,"Sarkar1234,Order ID: 213543, Ref.: 213543",300,0,300
81470792,2024-11-19T15:03:43Z,"Sarkar1234,Withdraw Sarkar1234, Account No. 01320394734",0,518,0
81483054,2024-11-19T15:33:06Z,"sa5555,Order ID: 213551, Ref.: 213551",500,0,500
81524389,2024-11-19T17:10:22Z,"Kamrul6452,Order ID: 213623, Ref.: 213623",200,0,200
81538265,2024-11-19T17:38:41Z,"Kamrul6452,Kamrul6452 Kamrul6452 , Account No. 01642048716",0,500,0
81545727,2024-11-19T17:54:49Z,"Kamrul6452,Order ID: 213652, Ref.: 213652",200,0,200
81558967,2024-11-19T18:23:16Z,"Kamrul6452,Kamrul6452 Withdraw, Account No. 01642048716",0,500,0
81566570,2024-11-19T18:36:21Z,"Kamrul6452,Withdrwal refund",500,0,500
81569251,2024-11-19T18:42:52Z,"riaz701,Order ID: 213666, Ref.: 213666",200,0,200
81579994,2024-11-19T19:09:16Z,"01743161189,Order ID: 213668, Ref.: 213668",500,0,500
81584194,2024-11-19T19:22:11Z,"Sumon016,Order ID: 213688, Ref.: 213688",500,0,500
81643850,2024-11-20T03:15:34Z,"Kamrul6452,WDR APPROVED, Account No. 01642048716",0,600,0
81666607,2024-11-20T04:54:13Z,"Newaz92,Order ID: 213770, Ref.: 213770",300,0,300
81681988,2024-11-20T05:44:28Z,"RAJAKHAN808,Order ID: 213826, Ref.: 213826",1500,0,1500
81685309,2024-11-20T05:53:43Z,"akking3030,Order ID: 213830, Ref.: 213830",500,0,500
81694458,2024-11-20T06:15:31Z,"riaz701,Order ID: 213841, Ref.: 213841",200,0,200
81727607,2024-11-20T07:31:21Z,"01743161189,01743161189 Withdraw, Account No. 01743161189",0,500,0
81727811,2024-11-20T07:31:54Z,"Kamrul6452,Kamrul6452 Withdraw, Account No. 01642048716",0,1400,0
81751512,2024-11-20T08:20:07Z,"Kamrul6452,Order ID: 213907, Ref.: 213907",500,0,500
81755724,2024-11-20T08:29:30Z,"01322668666,Order ID: 213914, Ref.: 213914",200,0,200
81757404,2024-11-20T08:33:14Z,"riaz701,Withdraw riaz701, Account No. 01626921389",0,600,0
81776494,2024-11-20T09:15:24Z,"Kamrul6452,Withdraw Kamrul6452 , Account No. 01642048716",0,806,0
81793501,2024-11-20T09:54:57Z,"Sumon44,Order ID: 213952, Ref.: 213952",200,0,200
81833931,2024-11-20T11:07:40Z,"Dbshanu892,Order ID: 214004, Ref.: 214004",500,0,500
81837056,2024-11-20T11:15:07Z,"Jafor7788,Order ID: 214006, Ref.: 214006",400,0,400
81838307,2024-11-20T11:18:05Z,"Dbshanu892,Withdraw Dbshanu892, Account No. 01634151412",0,524,0
81878342,2024-11-20T12:57:35Z,"Rahim112,Order ID: 214051, Ref.: 214051",200,0,200
81885435,2024-11-20T13:15:43Z,"Kamrul6452,Order ID: 214055, Ref.: 214055",200,0,200
81888655,2024-11-20T13:22:07Z,"akking3030,Order ID: 214058, Ref.: 214058",500,0,500
81904713,2024-11-20T14:02:15Z,"mamu3256,Order ID: 214111, Ref.: 214111",500,0,500
81910612,2024-11-20T14:14:54Z,"akking3030,Withdraw , Account No. 01963069491",0,500,0
81911444,2024-11-20T14:16:39Z,"amit001122,Order ID: 214131, Ref.: 214131",300,0,300
81970840,2024-11-20T16:18:48Z,"jashim511,Order ID: 214281, Ref.: 214281",1000,0,1000
81971835,2024-11-20T16:20:45Z,"mainul112,Order ID: 214276, Ref.: 214276",200,0,200
81976090,2024-11-20T16:29:00Z,"Thsagar,Order ID: 214293, Ref.: 214293",200,0,200
81977319,2024-11-20T16:31:16Z,"Thsagar,",10,0,10
81977414,2024-11-20T16:31:29Z,"Dihad1,Order ID: 214292, Ref.: 214292",200,0,200
82019030,2024-11-20T17:56:13Z,"Kamrul6452,Order ID: 214378, Ref.: 214378",500,0,500
82050885,2024-11-20T19:13:20Z,"Shukkur77,Order ID: 214418, Ref.: 214418",500,0,500
82245837,2024-11-21T08:58:00Z,"RAJAKHAN808,Order ID: 214774, Ref.: 214774",1000,0,1000
82253527,2024-11-21T09:15:21Z,"hasen11,Order ID: 214792, Ref.: 214792",300,0,300
82267247,2024-11-21T09:52:03Z,"01743161189,Withdraw from 01743161189",0,1000,0
82267403,2024-11-21T09:52:33Z,"01743161189,Withdraw 01743161189, Account No. 01743161189",0,1000,0
82268836,2024-11-21T09:56:19Z,"01743161189,By mistake double approved",1000,0,1000
82323348,2024-11-21T11:55:03Z,"abu88571,Order ID: 214873, Ref.: 214873",850,0,850
82353913,2024-11-21T13:01:17Z,"Alaminkh88,Order ID: 214912, Ref.: 214912",200,0,200
82370158,2024-11-21T13:28:44Z,"abu88571,Withdraw abu88571, Account No. 01947186013",0,1200,0
82380545,2024-11-21T13:53:27Z,"sumit38,Deposit to sumit38",500,0,500
82380625,2024-11-21T13:53:39Z,"sumit38,Withdraw from sumit38",0,500,0
82401808,2024-11-21T14:38:36Z,"abu88571,Withdraw abu88571, Account No. 01947186013",0,1000,0
82407839,2024-11-21T14:55:41Z,"Dihad1,Order ID: 215025, Ref.: 215025",200,0,200
82410403,2024-11-21T15:03:10Z,"Dihad1,10",10,0,10
82413229,2024-11-21T15:10:53Z,"Kamruzzaman,Order ID: 215040, Ref.: 215040",400,0,400
82415036,2024-11-21T15:15:24Z,"ershad99,Order ID: 215041, Ref.: 215041",500,0,500
82417332,2024-11-21T15:21:51Z,"hasen11,Withdraw hasen11, Account No. 01838027420",0,500,0
82432595,2024-11-21T15:43:12Z,"bijoy0288,Order ID: 215057, Ref.: 215057",300,0,300
82432806,2024-11-21T15:43:36Z,"Sojoy001,Order ID: 215058, Ref.: 215058",300,0,300
82438842,2024-11-21T15:56:59Z,"01725414128,Order ID: 215066, Ref.: 215066",500,0,500
82553314,2024-11-21T21:24:16Z,"Rh0044,Order ID: 215274, Ref.: 215274",500,0,500
82581294,2024-11-22T02:00:26Z,"Rh0044,withdrawal refund",500,0,500
82604807,2024-11-22T03:58:17Z,"Kamruzzaman,Order ID: 215343, Ref.: 215343",350,0,350
82629063,2024-11-22T05:24:19Z,"Jibon1432,Order ID: 215380, Ref.: 215380",300,0,300
82640351,2024-11-22T05:58:14Z,"Arif6869,Order ID: 215419, Ref.: 215419",200,0,200
82659436,2024-11-22T06:47:53Z,"mithu399,Order ID: 215440, Ref.: 215440",200,0,200
82682601,2024-11-22T07:54:11Z,"sayedsarkar,Order ID: 215459, Ref.: 215459",500,0,500
82684998,2024-11-22T08:00:32Z,"Nasim007,Order ID: 215461, Ref.: 215461",200,0,200
82696098,2024-11-22T08:33:19Z,"Nasim007,Withdraw Nasim007 , Account No. 01609064768",0,700,0
82705739,2024-11-22T08:58:43Z,"Aminur22,Order ID: 215506, Ref.: 215506",490,0,490
82715749,2024-11-22T09:25:46Z,"Anamule,Order ID: 215520, Ref.: 215520",500,0,500
82739945,2024-11-22T10:31:31Z,"SagorKunda,Order ID: 215548, Ref.: 215548",300,0,300
82740710,2024-11-22T10:34:05Z,"Rajib1991,Order ID: 215547, Ref.: 215547",100,0,100
82783189,2024-11-22T12:13:42Z,"Ranagazi53,Order ID: 215614, Ref.: 215614",500,0,500
82784339,2024-11-22T12:16:37Z,"md01894436578,Order ID: 215620, Ref.: 215620",1000,0,1000
82785665,2024-11-22T12:20:17Z,"SagorKunda,Order ID: 215625, Ref.: 215625",490,0,490
82799155,2024-11-22T12:48:54Z,"mdtesting,Ss team demo testing",2000,0,2000
82800257,2024-11-22T12:52:03Z,"SagorKunda,Order ID: 215659, Ref.: 215659",770,0,770
82803003,2024-11-22T12:58:17Z,"mdsalim0000,Deposit to mdsalim0000",500,0,500
82805081,2024-11-22T13:03:17Z,"SagorKunda,by mistake",0,583,0
82807526,2024-11-22T13:09:30Z,"Ranagazi53,Ranagazi53 Withdraw, Account No. 01954419653",0,1400,0
82809169,2024-11-22T13:13:14Z,"md01894436578,amount rev",1000,0,1000
82826958,2024-11-22T13:41:55Z,"rashedul,Order ID: 215698, Ref.: 215698",200,0,200
82833199,2024-11-22T13:59:16Z,"Anamule,Order ID: 215706, Ref.: 215706",500,0,500
82840341,2024-11-22T14:18:31Z,"md01894436578,Withdraw md01894436578 , Account No. 01712837512",0,1000,0
82845734,2024-11-22T14:32:01Z,"Anamule,Order ID: 215734, Ref.: 215734",500,0,500
82861537,2024-11-22T15:10:44Z,"Anamule,Order ID: 215763, Ref.: 215763",500,0,500
82874652,2024-11-22T15:37:30Z,"mstoma019,Order ID: 215784, Ref.: 215784",200,0,200
82878251,2024-11-22T15:45:14Z,"Osman123,Deposit to Osman123",500,0,500
82917527,2024-11-22T17:27:02Z,"Osman123,",1000,0,1000
82938171,2024-11-22T18:11:45Z,"Khokonmia,Deposit to Khokonmia",300,0,300
82992835,2024-11-22T22:10:22Z,"hasen11,Order ID: 215938, Ref.: 215938",400,0,400
83010902,2024-11-23T00:49:35Z,"sayedsarkar,Order ID: 215955, Ref.: 215955",1000,0,1000
83023769,2024-11-23T02:00:20Z,"Khokonmia,WDR APPROVED, Account No. 01945402604",0,500,0
83024591,2024-11-23T02:06:10Z,"Khokonmia,withdrawal refund",500,0,500
83026127,2024-11-23T02:17:54Z,"SagorKunda,Order ID: 215965, Ref.: 215965",980,0,980
83046701,2024-11-23T04:08:34Z,"Rhtr123,Order ID: 216032, Ref.: 216032",200,0,200
83048548,2024-11-23T04:16:58Z,"Kamrul6452,Order ID: 216036, Ref.: 216036",200,0,200
83050633,2024-11-23T04:24:51Z,"samir10,Order ID: 216040, Ref.: 216040",1000,0,1000
83070412,2024-11-23T05:40:31Z,"miraz0000,Order ID: 216087, Ref.: 216087",200,0,200
83097677,2024-11-23T07:02:47Z,"Mukitsajon,Order ID: 216151, Ref.: 216151",300,0,300
83098685,2024-11-23T07:05:07Z,"mdsalim0000,mdsalim0000, Account No. 01825944696",0,500,0
83102196,2024-11-23T07:13:46Z,"Kamrul6452,Withdraw, Account No. 01642048716",0,500,0
83103231,2024-11-23T07:16:25Z,"Rhtr123,Withdraw, Account No. 01325597425",0,500,0
83115875,2024-11-23T07:50:15Z,"Rhtr123,Withdraw, Account No. 01325597425",0,500,0
83116640,2024-11-23T07:52:37Z,"Kamrul4319,Order ID: 216190, Ref.: 216190",200,0,200
83120100,2024-11-23T08:02:11Z,"tahsin90,Order ID: 216195, Ref.: 216195",200,0,200
83133108,2024-11-23T08:35:21Z,"Mukitsajon,Withdraw , Account No. 01750141342",0,520,0
83139258,2024-11-23T08:51:17Z,"mdka24,Order ID: 216242, Ref.: 216242",500,0,500
83145607,2024-11-23T09:06:13Z,"Kamrul4319,Order ID: 216259, Ref.: 216259",300,0,300
83181623,2024-11-23T10:18:51Z,"Kamal882,Order ID: 216326, Ref.: 216326",200,0,200
83183520,2024-11-23T10:23:32Z,"MdAbuTaher,Order ID: 216327, Ref.: 216327",200,0,200
83185437,2024-11-23T10:29:22Z,"md016,Order ID: 216338, Ref.: 216338",600,0,600
83208986,2024-11-23T11:24:30Z,"Emon330055,Order ID: 216358, Ref.: 216358",1500,0,1500
83213645,2024-11-23T11:37:06Z,"Winner35,Order ID: 216370, Ref.: 216370",200,0,200
83224429,2024-11-23T12:10:06Z,"mdsalim0000,Withdraw mdsalim0000 , Account No. 01825944696",0,500,0
83225940,2024-11-23T12:15:26Z,"md016,Withdraw, Account No. 01324397907",0,580,0
83230509,2024-11-23T12:28:44Z,"Bikash1122,Order ID: 216403, Ref.: 216403",500,0,500
83237455,2024-11-23T12:51:25Z,"donbass,Order ID: 216413, Ref.: 216413",300,0,300
83240836,2024-11-23T13:01:17Z,"xxasra,Order ID: 216418, Ref.: 216418",500,0,500
83259186,2024-11-23T13:29:32Z,"Anamule,Order ID: 216444, Ref.: 216444",500,0,500
83261589,2024-11-23T13:34:57Z,"Bikash1122,Withdraw, Account No. 01312830188",0,505,0
83262817,2024-11-23T13:38:10Z,"Anamule,Order ID: 216451, Ref.: 216451",500,0,500
83276609,2024-11-23T14:11:23Z,"donbass,Withdraw, Account No. 01818293429",0,500,0
83277091,2024-11-23T14:12:56Z,"donbass,Withdraw",0,15,0
83329603,2024-11-23T15:57:43Z,"Atiqur90,Order ID: 216605, Ref.: 216605",200,0,200
83374477,2024-11-23T17:23:29Z,"Khokonmia,Order ID: 216637, Ref.: 216637",200,0,200
83378483,2024-11-23T17:31:19Z,"donbass,Withdraw, Account No. 01818293429",0,5000,0
83379290,2024-11-23T17:32:53Z,"Khokonmia,Withdraw, Account No. 01820537418",0,500,0
83416665,2024-11-23T18:41:19Z,"Jem75,Order ID: 216642, Ref.: 216642",200,0,200
83438497,2024-11-23T19:34:24Z,"donbass,Order ID: 216648, Ref.: 216648",300,0,300
83439389,2024-11-23T19:36:43Z,"Azad631,Order ID: 216649, Ref.: 216649",200,0,200
83461797,2024-11-23T21:03:35Z,"ariyankhanjoy,Order ID: 216658, Ref.: 216658",200,0,200
83489236,2024-11-24T01:00:14Z,"ariyankhanjoy,WDR APPROVED, Account No. 01609020937",0,700,0
83493316,2024-11-24T01:25:48Z,"Anamule,WDR APPROVED, Account No. 01317788458",0,4000,0
83510396,2024-11-24T02:51:02Z,"masud8080,Order ID: 216664, Ref.: 216664",2000,0,2000
83520861,2024-11-24T03:33:24Z,"masud8080,WDR APPROVED, Account No. 01760148754",0,1500,0
83568725,2024-11-24T06:11:29Z,"Shoriful23,Order ID: 216687, Ref.: 216687",300,0,300
83574628,2024-11-24T06:28:36Z,"Green365,Order ID: 216688, Ref.: 216688",5000,0,5000
83576324,2024-11-24T06:34:16Z,"anisul1166,Order ID: 216690, Ref.: 216690",500,0,500
83582267,2024-11-24T06:54:05Z,"masud8080,Order ID: 216693, Ref.: 216693",1000,0,1000
83596273,2024-11-24T07:33:05Z,"sakil007,Order ID: 216701, Ref.: 216701",3000,0,3000
83627484,2024-11-24T08:49:21Z,"Rakibmia9090,Order ID: 216714, Ref.: 216714",500,0,500
83631233,2024-11-24T08:58:19Z,"sakil007,Withdraw, Account No. 01768303377",0,6090,0
83675068,2024-11-24T10:43:08Z,"01722723228,Order ID: 216724, Ref.: 216724",500,0,500
83675498,2024-11-24T10:44:12Z,"Moloy19,Order ID: 216725, Ref.: 216725",200,0,200
83689114,2024-11-24T11:18:55Z,"Rakibmia9090,Withdraw, Account No. 01927942080",0,500,0
83701451,2024-11-24T11:39:35Z,"Green365,Green365, Account No. 01638112186",0,1000,0
83701697,2024-11-24T11:40:18Z,"Rakibmia9090,Withdraw, Account No. 01927942080",0,500,0
83742831,2024-11-24T13:23:39Z,"habibe,Order ID: 216748, Ref.: 216748",500,0,500
83752958,2024-11-24T13:42:05Z,"01743161189,Order ID: 216759, Ref.: 216759",900,0,900
83753251,2024-11-24T13:42:53Z,"habibe,Order ID: 216760, Ref.: 216760",500,0,500
83756332,2024-11-24T13:48:38Z,"Sumon016,Order ID: 216763, Ref.: 216763",200,0,200
83762527,2024-11-24T14:03:51Z,"Rakibmia9090,Withdraw, Account No. 01927942080",0,500,0
83768331,2024-11-24T14:20:16Z,"Shonik05,Order ID: 216773, Ref.: 216773",200,0,200
83796421,2024-11-24T15:13:53Z,"razzak33,Manually Depost",1000,0,1000
83845718,2024-11-24T16:49:04Z,"Sohel32,Deposit to Sohel32",195,0,195
83847028,2024-11-24T16:53:03Z,"sayedsarkar,Order ID: 216804, Ref.: 216804",1000,0,1000
83866899,2024-11-24T17:39:58Z,"hasibul163,Order ID: 216810, Ref.: 216810",500,0,500
83885420,2024-11-24T18:19:51Z,"dulu157,Order ID: 216813, Ref.: 216813",200,0,200
83965231,2024-11-25T04:00:37Z,"habibe,Order ID: 216830, Ref.: 216830",500,0,500
83981249,2024-11-25T05:12:29Z,"MdSohelkhan,Order ID: 216837, Ref.: 216837",200,0,200
83994406,2024-11-25T05:56:46Z,"Surjorot24,Order ID: 216843, Ref.: 216843",1000,0,1000
84023850,2024-11-25T07:13:39Z,"Yuiop321,Order ID: 216852, Ref.: 216852",500,0,500
84030717,2024-11-25T07:36:21Z,"roshid46,Order ID: 216854, Ref.: 216854",600,0,600
84044236,2024-11-25T08:01:28Z,"dulu157,Order ID: 216814, Ref.: 216814",200,0,200
84115629,2024-11-25T10:59:22Z,"mdruku85,Order ID: 216872, Ref.: 216872",500,0,500
84126406,2024-11-25T11:28:00Z,"Lotibur12,Order ID: 216875, Ref.: 216875",200,0,200
84135891,2024-11-25T11:55:02Z,"habibe,Order ID: 216881, Ref.: 216881",500,0,500
84155938,2024-11-25T12:51:21Z,"Anamule,Order ID: 216888, Ref.: 216888",500,0,500
84193691,2024-11-25T14:18:09Z,"wwww9900,Deposit to wwww9900",200,0,200
84194388,2024-11-25T14:19:45Z,"wwww9900,Order ID: 216905, Ref.: 216905",200,0,200
84195360,2024-11-25T14:22:21Z,"wwww9900,amount rev",0,200,0
84200596,2024-11-25T14:36:44Z,"Alimsheikh321,Order ID: 216911, Ref.: 216911",250,0,250
84211610,2024-11-25T15:01:39Z,"Jahidfazal,Order ID: 216914, Ref.: 216914",400,0,400
84216176,2024-11-25T15:12:35Z,"Ashraf24,Order ID: 216916, Ref.: 216916",2000,0,2000
84217699,2024-11-25T15:16:23Z,"Ashraf24,Extra amount  reverse",0,50,0
84220825,2024-11-25T15:23:01Z,"Ashraf24,Order ID: 216920, Ref.: 216920",2000,0,2000
84224483,2024-11-25T15:30:06Z,"Ashraf24,Order ID: 216925, Ref.: 216925",1950,0,1950
84255227,2024-11-25T16:19:59Z,"Sohel32,Deposit to Sohel32",400,0,400
84258390,2024-11-25T16:26:43Z,"safikul900,Deposit to safikul900",500,0,500
84272961,2024-11-25T16:56:02Z,"rocky276,Deposit to rocky276",200,0,200
84285676,2024-11-25T17:21:52Z,"Arifkhan90,Withdraw, Account No. 01758695090",0,510,0
84285948,2024-11-25T17:22:34Z,"Arifkhan90,Withdraw",0,13,0
84316923,2024-11-25T18:20:36Z,"Jahidfazal,Withdraw, Account No. 01306251990",0,1530,0
84320432,2024-11-25T18:27:36Z,"Sohel32,Withdraw, Account No. 01787793238",0,1000,0
84329496,2024-11-25T18:45:31Z,"Sohel32,withdrawal refund",1000,0,1000
84342675,2024-11-25T19:24:13Z,"Thsagar,Order ID: 216982, Ref.: 216982",300,0,300
84369107,2024-11-25T21:39:25Z,"Thsagar,Order ID: 216987, Ref.: 216987",300,0,300
84375847,2024-11-25T22:54:56Z,"Thsagar,Order ID: 216993, Ref.: 216993",300,0,300
84378334,2024-11-25T23:23:57Z,"Thsagar,Order ID: 216995, Ref.: 216995",300,0,300
84414044,2024-11-26T03:11:55Z,"Betvoromaster001,Order ID: 216997, Ref.: 216997",200,0,200
84434315,2024-11-26T04:22:15Z,"habibe,Order ID: 217004, Ref.: 217004",500,0,500
84450808,2024-11-26T05:25:15Z,"Betvoromaster001,Order ID: 217009, Ref.: 217009",200,0,200
84465056,2024-11-26T06:04:42Z,"jewel556,Order ID: 217012, Ref.: 217012",300,0,300
84508979,2024-11-26T08:14:28Z,"israfil999,Order ID: 217053, Ref.: 217053",200,0,200
84520488,2024-11-26T08:43:15Z,"sumon7570,Order ID: 217055, Ref.: 217055",2500,0,2500
84524061,2024-11-26T08:51:53Z,"Betvoromaster001,Order ID: 216984, Ref.: 216984",800,0,800
84549918,2024-11-26T09:59:16Z,"sumon7570,sumon7570 , Account No. 01750757096",0,4000,0
84572134,2024-11-26T10:56:34Z,"Betvoromaster001,Order ID: 216998, Ref.: 216998",215,0,215
84573723,2024-11-26T11:00:31Z,"Jan12345,Order ID: 217074, Ref.: 217074",200,0,200
84575546,2024-11-26T11:04:35Z,"Sikder10,Order ID: 217076, Ref.: 217076",200,0,200
84577392,2024-11-26T11:09:39Z,"Betvoromaster001,Order ID: 217078, Ref.: 217078",490,0,490
84578548,2024-11-26T11:12:33Z,"JuweL Rana,Order ID: 217079, Ref.: 217079",300,0,300
84590920,2024-11-26T11:43:21Z,"Jan12345,Order ID: 217089, Ref.: 217089",300,0,300
84594420,2024-11-26T11:54:23Z,"Bidthutsd,Order ID: 217092, Ref.: 217092",200,0,200
84600767,2024-11-26T12:17:13Z,"RAJAKHAN808,Order ID: 217101, Ref.: 217101",1500,0,1500
84605604,2024-11-26T12:30:01Z,"Abdullah29,Order ID: 217103, Ref.: 217103",200,0,200
84609391,2024-11-26T12:42:11Z,"Bidthutsd,Withdraw, Account No. 01710428832",0,500,0
84609980,2024-11-26T12:44:15Z,"RAJAKHAN808,Withdraw, Account No. 01719952808",0,500,0
84614784,2024-11-26T12:58:15Z,"Torikul85,Order ID: 217112, Ref.: 217112",200,0,200
84616434,2024-11-26T13:02:30Z,"Torikul85,Order ID: 217113, Ref.: 217113",200,0,200
84619931,2024-11-26T13:12:04Z,"habibe,Order ID: 217114, Ref.: 217114",500,0,500
84623644,2024-11-26T13:21:34Z,"mosiurrr,Order ID: 217119, Ref.: 217119",400,0,400
84631305,2024-11-26T13:34:28Z,"habibe,Order ID: 217121, Ref.: 217121",500,0,500
84641711,2024-11-26T14:01:38Z,"369725880,Order ID: 217126, Ref.: 217126",500,0,500
84642099,2024-11-26T14:02:45Z,"Betvoromaster001,Order ID: 217127, Ref.: 217127",980,0,980
84644133,2024-11-26T14:08:01Z,"shahinsheak,Order ID: 217129, Ref.: 217129",300,0,300
84645145,2024-11-26T14:10:25Z,"shahinsheak,Extra amount  reverse",0,10,0
84647122,2024-11-26T14:15:43Z,"azad3040,Order ID: 217133, Ref.: 217133",5000,0,5000
84650530,2024-11-26T14:25:00Z,"Mdmoklasur,Order ID: 217136, Ref.: 217136",500,0,500
84657118,2024-11-26T14:40:11Z,"azad3040,azad3040 , Account No. 12345",0,5000,0
84663105,2024-11-26T14:54:38Z,"rocky276,Deposit to rocky276",300,0,300
